city,amt,id
"Albuquerque, NM",0.69,1
"Arlington, TX",13.78,2
"Atlanta, GA",20.6,3
"Austin, TX",8.94,4
"Baltimore, MD",14.49,5
"Boston, MA",1.83,6
"Charlotte, NC",14.71,7
"Chicago, IL",7.67,8
"Cleveland, OH",8.95,9
"Colorado Springs, CO",3.51,10
"Columbis, OH",12.41,11
"Dallas, TX",13.39,12
"Denver, CO",5.92,13
"Detroit, MI",12.68,14
"El Paso, TX",0.8,15
"Fort Worth, TX",11.47,16
"Fresno, CA",2.32,17
"Houston, TX",6.26,18
"Indianapolis, IN",16.74,19
"Jacksonville, FL",19.18,20
"Kansas City, MO",19.5,21
"Las Vegas, NV",0.61,22
"Long Beach, CA",2.88,23
"Los Angeles, CA",2.61,24
"Louisville, KY",18.13,25
"Memphis, TN",34.52,26
"Mesa, AZ",3.47,27
"Miami, FL",16.18,28
"Milwaukee, WI",22.47,29
"Minneapolis, MN",15.07,30
"Nashville, TN",18.55,31
"New York, NY",19.21,32
"Oakland, CA",1.58,33
"Oklahoma City, OK",22.22,34
"Omaha, NE",11.52,35
"Philadelphia, PA",15.46,36
"Phoenix, AZ",3.42,37
"Portland, OR",12.06,38
"Raleigh, NC",19.03,39
"Sacramento, CA",5.08,40
"San Antonio, TX",16.1,41
"San Diego, CA",3.33,42
"San Francisco, CA",2.94,43
"San Jose, CA",2.22,44
"Seattle, WA",13.46,45
"Tucson, AZ",2.58,46
"Tulsa, OK",18.95,47
"Virginia Beach, VA",20.36,48
"Washingon, DC",10.79,49
"Wichita, KS",12.46,50
